time,temperature,cost,edge_cost,travel_cost,delay_cost
895,16.75977653631285,397,53,114,230
896,16.741071428571427,397,53,114,230
897,16.722408026755854,397,53,114,230
898,16.70378619153675,397,53,114,230
899,16.685205784204673,369,74,105,190
900,16.666666666666668,369,74,105,190
901,16.64816870144284,369,74,105,190
902,16.62971175166297,401,55,106,240
903,16.611295681063122,401,55,106,240
904,16.5929203539823,401,55,106,240
905,16.574585635359117,401,55,106,240
906,16.556291390728475,408,62,106,240
907,16.5380374862183,408,62,106,240
908,16.519823788546255,408,62,106,240
909,16.501650165016503,401,55,106,240
910,16.483516483516482,400,54,106,240
911,16.46542261251372,408,62,106,240
912,16.44736842105263,400,54,106,240
913,16.42935377875137,400,54,106,240
914,16.411378555798688,400,54,106,240
915,16.39344262295082,400,54,106,240
916,16.375545851528383,400,54,106,240
917,16.357688113413303,400,54,106,240
918,16.33986928104575,400,54,106,240
919,16.32208922742111,400,54,106,240
920,16.304347826086957,400,54,106,240
921,16.286644951140065,442,41,121,280
922,16.268980477223426,442,41,121,280
923,16.251354279523294,442,41,121,280
924,16.233766233766232,442,41,121,280
925,16.216216216216218,442,41,121,280
926,16.198704103671705,442,41,121,280
927,16.181229773462782,442,41,121,280
928,16.163793103448278,442,41,121,280
929,16.146393972012916,442,41,121,280
930,16.129032258064516,442,41,121,280
931,16.111707841031148,442,41,121,280
932,16.09442060085837,442,41,121,280
933,16.077170418006432,436,41,115,280
934,16.059957173447536,429,34,115,280
935,16.0427807486631,429,34,115,280
936,16.025641025641026,429,34,115,280
937,16.008537886873,429,34,115,280
938,15.991471215351812,429,34,115,280
939,15.97444089456869,429,34,115,280
940,15.957446808510639,429,34,115,280
941,15.94048884165781,429,34,115,280
942,15.92356687898089,429,34,115,280
943,15.906680805938494,429,34,115,280
944,15.889830508474576,401,55,106,240
945,15.873015873015873,400,54,106,240
946,15.856236786469344,362,67,105,190
947,15.839493136219641,362,67,105,190
948,15.822784810126583,362,67,105,190
949,15.806111696522656,404,54,120,230
950,15.789473684210526,404,54,120,230
951,15.772870662460567,404,54,120,230
952,15.756302521008404,404,54,120,230
953,15.739769150052465,404,54,120,230
954,15.723270440251572,404,54,120,230
955,15.706806282722512,404,54,120,230
956,15.690376569037657,389,94,105,190
957,15.67398119122257,384,40,114,230
958,15.657620041753653,384,40,114,230
959,15.641293013555787,384,40,114,230
960,15.625,384,40,114,230
961,15.608740894901144,384,40,114,230
962,15.592515592515593,384,40,114,230
963,15.576323987538942,384,40,114,230
964,15.560165975103734,384,40,114,230
965,15.544041450777202,384,40,114,230
966,15.527950310559007,384,40,114,230
967,15.511892450879007,384,40,114,230
968,15.49586776859504,384,40,114,230
969,15.479876160990711,384,40,114,230
970,15.463917525773196,384,40,114,230
971,15.44799176107106,384,40,114,230
972,15.432098765432098,384,40,114,230
973,15.416238437821171,384,40,114,230
974,15.40041067761807,390,40,120,230
975,15.384615384615385,390,40,120,230
976,15.368852459016393,390,40,120,230
977,15.353121801432959,390,40,120,230
978,15.337423312883436,390,40,120,230
979,15.321756894790603,390,40,120,230
980,15.306122448979592,390,40,120,230
981,15.290519877675841,390,40,120,230
982,15.274949083503055,390,40,120,230
983,15.25940996948118,390,40,120,230
984,15.24390243902439,390,40,120,230
985,15.228426395939087,390,40,120,230
986,15.212981744421906,390,40,120,230
987,15.19756838905775,384,34,120,230
988,15.182186234817813,384,34,120,230
989,15.166835187057634,384,34,120,230
990,15.151515151515152,384,34,120,230
991,15.136226034308779,378,34,114,230
992,15.120967741935484,383,39,114,230
993,15.105740181268882,386,44,122,220
994,15.090543259557345,383,39,114,230
995,15.075376884422111,378,34,114,230
996,15.060240963855422,378,34,114,230
997,15.045135406218655,378,34,114,230
998,15.030060120240481,357,62,105,190
999,15.015015015015015,357,62,105,190
1000,15,357,62,105,190
1001,14.985014985014985,357,62,105,190
1002,14.970059880239521,357,62,105,190
1003,14.955134596211366,357,62,105,190
1004,14.9402390438247,357,62,105,190
1005,14.925373134328359,357,62,105,190
1006,14.910536779324056,357,62,105,190
1007,14.895729890764647,357,113,104,140
1008,14.880952380952381,357,113,104,140
1009,14.866204162537166,372,77,105,190
1010,14.851485148514852,357,113,104,140
1011,14.836795252225519,357,113,104,140
1012,14.82213438735178,342,98,104,140
1013,14.807502467917079,342,98,104,140
1014,14.792899408284024,342,98,104,140
1015,14.77832512315271,342,98,104,140
1016,14.763779527559056,342,98,104,140
1017,14.749262536873156,342,98,104,140
1018,14.734774066797643,342,98,104,140
1019,14.720314033366044,342,98,104,140
1020,14.705882352941176,342,98,104,140
1021,14.691478942213516,342,98,104,140
1022,14.677103718199609,343,99,104,140
1023,14.662756598240469,343,99,104,140
1024,14.6484375,343,99,104,140
1025,14.634146341463415,343,99,104,140
1026,14.619883040935672,359,66,113,180
1027,14.605647517039921,359,66,113,180
1028,14.591439688715953,359,66,113,180
1029,14.577259475218659,367,74,113,180
1030,14.563106796116505,367,74,113,180
1031,14.54898157129001,367,74,113,180
1032,14.534883720930232,367,74,113,180
1033,14.52081316553727,367,74,113,180
1034,14.506769825918763,367,74,113,180
1035,14.492753623188406,367,74,113,180
1036,14.478764478764479,367,74,113,180
1037,14.46480231436837,367,74,113,180
1038,14.45086705202312,367,74,113,180
1039,14.436958614051973,367,74,113,180
1040,14.423076923076923,367,74,113,180
1041,14.409221902017292,367,74,113,180
1042,14.395393474088293,367,74,113,180
1043,14.381591562799617,367,74,113,180
1044,14.367816091954023,367,74,113,180
1045,14.354066985645932,367,74,113,180
1046,14.340344168260039,367,74,113,180
1047,14.326647564469914,373,74,119,180
1048,14.312977099236642,365,66,119,180
1049,14.299332697807436,365,66,119,180
1050,14.285714285714286,365,66,119,180
1051,14.272121788772598,365,66,119,180
1052,14.258555133079849,365,66,119,180
1053,14.245014245014245,365,66,119,180
1054,14.231499051233397,365,66,119,180
1055,14.218009478672986,354,110,104,140
1056,14.204545454545455,354,110,104,140
1057,14.191106906338694,354,110,104,140
1058,14.177693761814744,354,110,104,140
1059,14.164305949008499,359,66,113,180
1060,14.150943396226415,359,66,113,180
1061,14.137606032045241,359,66,113,180
1062,14.124293785310735,359,66,113,180
1063,14.111006585136407,359,66,113,180
1064,14.097744360902256,395,53,122,220
1065,14.084507042253522,395,53,122,220
1066,14.071294559099437,395,53,122,220
1067,14.058106841611997,395,53,122,220
1068,14.044943820224718,395,53,122,220
1069,14.03180542563143,395,53,122,220
